benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,1.0,-2.0,0.020153588462731718,50.0,0.052017164230346635,0.3943478047847747,1.0,0.0,150,1.0,0.0,1.0,0.0,1.0,0.6000000000000001,0.6499999999999999,0.6499999999999999
B1,sac_her,action_clipping,0.3,1.0,-8.0,0.02021667578016636,50.0,0.0232464989647269,0.3381294131278991,0.0,0.0,150,1.0,0.9195386988615016,1.0,1.0,0.0,0.7839077397723004,0.6839077397723003,0.6839077397723003
B1,sac_her,action_delay,0.0,1.0,-3.6,0.02015428653126486,50.0,0.13354811370372768,0.44657925367355344,1.0,0.0,150,1.0,0.5891994702922244,1.0,0.0,0.0,0.5178398940584449,0.4678398940584449,0.4678398940584449
B1,sac_her,action_reversal,0.0,0.0,-50.0,1.1196276706737056,50.0,0.053900306299328744,1.8530247449874877,1.0,0.0,150,0.0,0.23855913856213684,0.0,0.0,0.0,0.04771182771242737,0.04771182771242737,0.04771182771242737
B1,sac_her,goal_spoof_immediate,0.1,0.17333333333333334,-46.4,0.09380620278687245,50.0,0.05101957807938254,0.4298190417389075,0.86,0.0,150,0.17333333333333334,0.7969173897879809,0.17333333333333334,0.14,0.0,0.2567168112909295,0.24105014462426286,0.24105014462426286
B1,sac_her,goal_spoof_midep,0.1,1.0,-28.013333333333332,0.09110611526462878,50.0,0.11354722666243708,0.4794175972541173,1.0,0.0,150,1.0,0.6110830830619814,1.0,0.0,0.0,0.5222166166123964,0.47221661661239633,0.47221661661239633
B1,sac_her,sensor_bias,0.1,0.24666666666666667,-48.586666666666666,0.2988734026028909,50.0,0.10047769806037342,0.7163452026247978,0.86,0.0,150,0.24666666666666667,0.5388876934248643,0.24666666666666667,0.14,0.0,0.23444420535163957,0.2151108720183062,0.2151108720183062
B1,sac_her,sensor_dropout,0.0,0.0,-50.0,0.928161793577472,50.0,0.01064615864306684,1.926828098297119,1.0,0.0,150,0.0,0.470718004824882,0.0,0.0,0.0,0.09414360096497641,0.09414360096497641,0.09414360096497641
B2,sac_her_recovery_v2,action_clipping,0.3,1.0,-8.0,0.02021667578016636,50.0,0.0232464989647269,0.3381294131278991,0.0,0.0,150,1.0,0.9422972324879002,1.0,1.0,0.0,0.78845944649758,0.6884594464975801,0.6884594464975801
B2,sac_her_recovery_v2,action_delay,0.0,1.0,-3.6,0.02015428653126486,50.0,0.13354811370372768,0.44657925367355344,1.0,0.0,150,1.0,0.891056193158478,1.0,0.0,0.0,0.5782112386316957,0.5282112386316956,0.5282112386316956
