method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx,recovery_version,benchmark_layer
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,0,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,1,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,2,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,3,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,4,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,5,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,6,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,7,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,8,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,9,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,10,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,11,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,12,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,13,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,14,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,15,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,16,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,17,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,18,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,19,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,20,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,21,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,22,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,23,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,24,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,25,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,26,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,27,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,28,none,B0
sac_her,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,29,none,B0
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,30,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,31,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,32,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,33,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,34,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,35,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,36,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,37,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,38,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,39,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,40,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,41,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,42,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,43,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,44,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,45,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,46,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,47,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,48,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,49,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,50,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,51,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,52,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,53,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,54,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,55,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,56,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,57,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,58,v2,B2
sac_her_recovery_v2,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,59,v2,B2
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,60,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,61,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,62,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,63,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,64,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,65,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,66,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,67,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,68,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,69,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,70,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,71,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,72,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,73,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,74,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,75,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,76,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,77,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,78,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,79,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,80,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,81,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,82,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,83,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,84,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,85,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,86,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,87,v3,B3
sac_her_recovery_v3,clean,0,0.0,-2.0,1.0,0.027090304144831878,50,0.04987413436174393,0.5720048546791077,1.0,0.0,88,v3,B3
